Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,date_parsed
7/15/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-15
7/16/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-16
7/20/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-20
7/21/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-21
7/22/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-22
7/23/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-23
7/24/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-24
7/27/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-27
7/28/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-28
7/29/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-29
7/30/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-30
7/31/2015,350.00,/,/,350.00,0.00,0,0,0,2015-07-31
8/4/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-04
8/5/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-05
8/6/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-06
8/7/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-07
8/10/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-10
8/11/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-11
8/12/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-12
8/13/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-13
8/14/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-14
8/17/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-17
8/18/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-18
8/19/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-19
8/20/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-20
8/21/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-21
8/24/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-24
8/25/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-25
8/26/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-26
8/27/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-27
8/31/2015,350.00,/,/,350.00,0.00,0,0,0,2015-08-31
9/1/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-01
9/2/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-02
9/3/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-03
9/4/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-04
9/7/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-07
9/9/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-09
9/10/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-10
9/11/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-11
9/14/2015,350.00,/,/,350.00,0.00,0,0,0,2015-09-14
